team_shots,opponent_shots,opponent,opponent_against_shots_avg,opponent_for_shots_avg
3,15,Celta de Vigo,9.736842105263158,14.789473684210526
10,30,FC Barcelona,10.368421052631579,17.94736842105263
13,19,Granada,12.263157894736842,12.31578947368421
13,18,Getafe,10.31578947368421,13.0
15,7,Valencia,9.894736842105264,11.368421052631579
9,19,Girona,10.68421052631579,13.0
7,27,Rayo Vallecano,10.736842105263158,15.210526315789474
4,14,Osasuna,9.526315789473685,12.789473684210526
14,14,Real Betis,9.421052631578947,15.31578947368421
7,17,Real Sociedad,9.736842105263158,12.947368421052632
7,29,Mallorca,10.789473684210526,11.578947368421053
10,18,Sevilla,12.157894736842104,14.736842105263158
3,21,Las Palmas,9.842105263157896,10.526315789473685
9,23,Deportivo Alavés,10.31578947368421,12.631578947368421
10,18,Real Madrid,8.842105263157896,17.894736842105264
17,10,Villarreal,13.578947368421053,15.421052631578947
5,11,Cádiz,10.631578947368421,11.68421052631579
19,13,Atlético Madrid,11.736842105263158,14.105263157894736
4,23,Athletic Club,9.0,14.210526315789474
